crop,month,soil_type,soil_drainage,maturity_in_days
rice,August,clay,poorly-drained,97
rice,September,clay,poorly-drained,97
rice,October,clay,poorly-drained,97
rice,November,clay,poorly-drained,98
rice,December,clay,poorly-drained,98
rice,January,clay,poorly-drained,98
rice,February,clay,poorly-drained,98
rice,March,clay,poorly-drained,98
rice,April,clay,poorly-drained,98
rice,May,clay,poorly-drained,98
rice,June,clay,poorly-drained,98
rice,July,clay,poorly-drained,98
rice,August,clay,poorly-drained,98
rice,September,clay,poorly-drained,98
rice,October,clay,poorly-drained,98
rice,November,clay,poorly-drained,99
rice,December,clay,poorly-drained,99
rice,January,clay,poorly-drained,99
rice,February,clay,poorly-drained,99
rice,March,clay,poorly-drained,99
rice,April,clay,poorly-drained,99
rice,May,clay,poorly-drained,99
rice,June,clay,poorly-drained,99
rice,July,clay,poorly-drained,99
rice,August,clay,poorly-drained,99
rice,September,clay,poorly-drained,99
rice,October,clay,poorly-drained,99
rice,November,clay,poorly-drained,100
rice,December,clay,poorly-drained,100
rice,January,clay,poorly-drained,100
rice,February,clay,poorly-drained,100
rice,March,clay,poorly-drained,100
rice,April,clay,poorly-drained,100
rice,May,clay,poorly-drained,100
rice,June,clay,poorly-drained,100
rice,July,clay,poorly-drained,100
rice,August,clay,poorly-drained,100
rice,September,clay,poorly-drained,100
rice,October,clay,poorly-drained,100
rice,November,clay,poorly-drained,101
rice,December,clay,poorly-drained,101
rice,January,clay,poorly-drained,101
rice,February,clay,poorly-drained,101
rice,March,clay,poorly-drained,101
rice,April,clay,poorly-drained,101
rice,May,clay,poorly-drained,101
rice,June,clay,poorly-drained,101
rice,July,clay,poorly-drained,101
rice,August,clay,poorly-drained,101
rice,September,clay,poorly-drained,101
rice,October,clay,poorly-drained,101
rice,November,clay,poorly-drained,102
rice,December,clay,poorly-drained,102
rice,January,clay,poorly-drained,102
rice,February,clay,poorly-drained,102
rice,March,clay,poorly-drained,102
rice,April,clay,poorly-drained,102
rice,May,clay,poorly-drained,102
rice,June,clay,poorly-drained,102
rice,July,clay,poorly-drained,102
rice,August,clay,poorly-drained,102
rice,September,clay,poorly-drained,102
rice,October,clay,poorly-drained,102
rice,November,clay,poorly-drained,103
rice,December,clay,poorly-drained,103
rice,January,clay,poorly-drained,103
rice,February,clay,poorly-drained,103
rice,March,clay,poorly-drained,103
rice,April,clay,poorly-drained,103
rice,May,clay,poorly-drained,103
rice,June,clay,poorly-drained,103
rice,July,clay,poorly-drained,103
rice,August,clay,poorly-drained,103
rice,September,clay,poorly-drained,103
rice,October,clay,poorly-drained,103
rice,November,clay,poorly-drained,104
rice,December,clay,poorly-drained,104
rice,January,clay,poorly-drained,104
rice,February,clay,poorly-drained,104
rice,March,clay,poorly-drained,104
rice,April,clay,poorly-drained,104
rice,May,clay,poorly-drained,104
rice,June,clay,poorly-drained,104
rice,July,clay,poorly-drained,104
rice,August,clay,poorly-drained,104
rice,September,clay,poorly-drained,104
rice,October,clay,poorly-drained,104
rice,November,clay,poorly-drained,105
rice,December,clay,poorly-drained,105
rice,January,clay,poorly-drained,105
rice,February,clay,poorly-drained,105
rice,March,clay,poorly-drained,105
rice,April,clay,poorly-drained,105
rice,May,clay,poorly-drained,105
rice,June,clay,poorly-drained,105
rice,July,clay,poorly-drained,105
rice,August,clay,poorly-drained,105
rice,September,clay,poorly-drained,105
rice,October,clay,poorly-drained,105
rice,November,clay,poorly-drained,106
rice,December,clay,poorly-drained,106
rice,January,clay,poorly-drained,106
rice,February,clay,poorly-drained,106
rice,March,clay,poorly-drained,106
rice,April,clay,poorly-drained,106
rice,May,clay,poorly-drained,106
rice,June,clay,poorly-drained,106
rice,July,clay,poorly-drained,106
rice,August,clay,poorly-drained,106
rice,September,clay,poorly-drained,106
rice,October,clay,poorly-drained,106
rice,November,clay,poorly-drained,107
rice,December,clay,poorly-drained,107
rice,January,clay,poorly-drained,107
rice,February,clay,poorly-drained,107
rice,March,clay,poorly-drained,107
rice,April,clay,poorly-drained,107
rice,May,clay,poorly-drained,107
rice,June,clay,poorly-drained,107
rice,July,clay,poorly-drained,107
rice,August,clay,poorly-drained,107
rice,September,clay,poorly-drained,107
rice,October,clay,poorly-drained,107
rice,November,clay,poorly-drained,108
rice,December,clay,poorly-drained,108
rice,January,clay,poorly-drained,108
rice,February,clay,poorly-drained,108
rice,March,clay,poorly-drained,108
rice,April,clay,poorly-drained,108
rice,May,clay,poorly-drained,108
rice,June,clay,poorly-drained,108
rice,July,clay,poorly-drained,108
rice,August,clay,poorly-drained,108
rice,September,clay,poorly-drained,108
rice,October,clay,poorly-drained,108
rice,November,clay,poorly-drained,109
rice,December,clay,poorly-drained,109
rice,January,clay,poorly-drained,109
rice,February,clay,poorly-drained,109
rice,March,clay,poorly-drained,109
rice,April,clay,poorly-drained,109
rice,May,clay,poorly-drained,109
rice,June,clay,poorly-drained,109
rice,July,clay,poorly-drained,109
rice,August,clay,poorly-drained,109
rice,September,clay,poorly-drained,109
rice,October,clay,poorly-drained,109
rice,November,clay,poorly-drained,110
rice,December,clay,poorly-drained,110
rice,January,clay,poorly-drained,110
rice,February,clay,poorly-drained,110
rice,March,clay,poorly-drained,110
rice,April,clay,poorly-drained,110
rice,May,clay,poorly-drained,110
rice,June,clay,poorly-drained,110
rice,July,clay,poorly-drained,110
rice,August,clay,poorly-drained,110
rice,September,clay,poorly-drained,110
rice,October,clay,poorly-drained,110
rice,November,clay,poorly-drained,111
rice,December,clay,poorly-drained,111
rice,January,clay,poorly-drained,111
rice,February,clay,poorly-drained,111
rice,March,clay,poorly-drained,111
rice,April,clay,poorly-drained,111
rice,May,clay,poorly-drained,111
rice,June,clay,poorly-drained,111
rice,July,clay,poorly-drained,111
rice,August,clay,poorly-drained,111
rice,September,clay,poorly-drained,111
rice,October,clay,poorly-drained,111
rice,November,clay,poorly-drained,112
rice,December,clay,poorly-drained,112
rice,January,clay,poorly-drained,112
rice,February,clay,poorly-drained,112
rice,March,clay,poorly-drained,112
rice,April,clay,poorly-drained,112
rice,May,clay,poorly-drained,112
rice,June,clay,poorly-drained,112
rice,July,clay,poorly-drained,112
rice,August,clay,poorly-drained,112
rice,September,clay,poorly-drained,112
rice,October,clay,poorly-drained,112
rice,November,clay,poorly-drained,113
rice,December,clay,poorly-drained,113
rice,January,clay,poorly-drained,113
rice,February,clay,poorly-drained,113
rice,March,clay,poorly-drained,113
rice,April,clay,poorly-drained,113
rice,May,clay,poorly-drained,113
rice,June,clay,poorly-drained,113
rice,July,clay,poorly-drained,113
rice,August,clay,poorly-drained,113
rice,September,clay,poorly-drained,113
rice,October,clay,poorly-drained,113
rice,November,clay,poorly-drained,114
rice,December,clay,poorly-drained,114
rice,January,clay,poorly-drained,114
rice,February,clay,poorly-drained,114
rice,March,clay,poorly-drained,114
rice,April,clay,poorly-drained,114
rice,May,clay,poorly-drained,114
rice,June,clay,poorly-drained,114
rice,July,clay,poorly-drained,114
rice,August,clay,poorly-drained,114
rice,September,clay,poorly-drained,114
rice,October,clay,poorly-drained,114
rice,November,clay,poorly-drained,115
rice,December,clay,poorly-drained,115
rice,January,clay,poorly-drained,115
rice,February,clay,poorly-drained,115
rice,March,clay,poorly-drained,115
rice,April,clay,poorly-drained,115
rice,May,clay,poorly-drained,115
rice,June,clay,poorly-drained,115
rice,July,clay,poorly-drained,115
rice,August,clay,poorly-drained,115
rice,September,clay,poorly-drained,115
rice,October,clay,poorly-drained,115
rice,November,clay,poorly-drained,116
rice,December,clay,poorly-drained,116
rice,January,clay,poorly-drained,116
rice,February,clay,poorly-drained,116
rice,March,clay,poorly-drained,116
rice,April,clay,poorly-drained,116
rice,May,clay,poorly-drained,116
rice,June,clay,poorly-drained,116
rice,July,clay,poorly-drained,116
rice,August,clay,poorly-drained,116
rice,September,clay,poorly-drained,116
rice,October,clay,poorly-drained,116
rice,November,clay,poorly-drained,117
rice,December,clay,poorly-drained,117
rice,January,clay,poorly-drained,117
rice,February,clay,poorly-drained,117
rice,March,clay,poorly-drained,117
rice,April,clay,poorly-drained,117
rice,May,clay,poorly-drained,117
rice,June,clay,poorly-drained,117
rice,July,clay,poorly-drained,117
rice,August,clay,poorly-drained,117
rice,September,clay,poorly-drained,117
rice,October,clay,poorly-drained,117
rice,November,clay,poorly-drained,118
rice,December,clay,poorly-drained,118
rice,January,clay,poorly-drained,118
rice,February,clay,poorly-drained,118
rice,March,clay,poorly-drained,118
rice,April,clay,poorly-drained,118
rice,May,clay,poorly-drained,118
rice,June,clay,poorly-drained,118
rice,July,clay,poorly-drained,118
rice,August,clay,poorly-drained,118
rice,September,clay,poorly-drained,118
rice,October,clay,poorly-drained,118
rice,November,clay,poorly-drained,119
rice,December,clay,poorly-drained,119
rice,January,clay,poorly-drained,119
rice,February,clay,poorly-drained,119
rice,March,clay,poorly-drained,119
rice,April,clay,poorly-drained,119
rice,May,clay,poorly-drained,119
rice,June,clay,poorly-drained,119
rice,July,clay,poorly-drained,119
rice,August,clay,poorly-drained,119
rice,September,clay,poorly-drained,119
rice,October,clay,poorly-drained,119
rice,November,clay,poorly-drained,120
rice,December,clay,poorly-drained,120
rice,January,clay,poorly-drained,120
rice,February,clay,poorly-drained,120
rice,March,clay,poorly-drained,120
rice,April,clay,poorly-drained,120
rice,May,clay,poorly-drained,120
rice,June,clay,poorly-drained,120
rice,July,clay,poorly-drained,120
rice,August,clay,poorly-drained,120
rice,September,clay,poorly-drained,120
rice,October,clay,poorly-drained,120
rice,November,clay,poorly-drained,121
rice,December,clay,poorly-drained,121
rice,January,clay,poorly-drained,121
rice,February,clay,poorly-drained,121
rice,March,clay,poorly-drained,121
rice,April,clay,poorly-drained,121
rice,May,clay,poorly-drained,121
rice,June,clay,poorly-drained,121
rice,July,clay,poorly-drained,121
rice,August,clay,poorly-drained,121
rice,September,clay,poorly-drained,121
rice,October,clay,poorly-drained,121
rice,November,clay,poorly-drained,122
rice,December,clay,poorly-drained,122
rice,January,clay,poorly-drained,122
rice,February,clay,poorly-drained,122
rice,March,clay,poorly-drained,122
rice,April,clay,poorly-drained,122
rice,May,clay,poorly-drained,122
rice,June,clay,poorly-drained,122
rice,July,clay,poorly-drained,122
rice,August,clay,poorly-drained,122
rice,September,clay,poorly-drained,122
rice,October,clay,poorly-drained,122
rice,November,clay,poorly-drained,123
rice,December,clay,poorly-drained,123
rice,January,clay,poorly-drained,123
rice,February,clay,poorly-drained,123
rice,March,clay,poorly-drained,123
rice,April,clay,poorly-drained,123
rice,May,clay,poorly-drained,123
rice,June,clay,poorly-drained,123
rice,July,clay,poorly-drained,123
rice,August,clay,poorly-drained,123
rice,September,clay,poorly-drained,123
rice,October,clay,poorly-drained,123
rice,November,clay,poorly-drained,124
rice,December,clay,poorly-drained,124
rice,January,clay,poorly-drained,124
rice,February,clay,poorly-drained,124
rice,March,clay,poorly-drained,124
rice,April,clay,poorly-drained,124
rice,May,clay,poorly-drained,124
rice,June,clay,poorly-drained,124
rice,July,clay,poorly-drained,124
rice,August,clay,poorly-drained,124
rice,September,clay,poorly-drained,124
rice,October,clay,poorly-drained,124
rice,November,clay,poorly-drained,125
rice,December,clay,poorly-drained,125
rice,January,clay,poorly-drained,125
rice,February,clay,poorly-drained,125
rice,March,clay,poorly-drained,125
rice,April,clay,poorly-drained,125
rice,May,clay,poorly-drained,125
rice,June,clay,poorly-drained,125
rice,July,clay,poorly-drained,125
rice,August,clay,poorly-drained,125
rice,September,clay,poorly-drained,125
rice,October,clay,poorly-drained,125
rice,November,clay,poorly-drained,126
rice,December,clay,poorly-drained,126
rice,January,clay,poorly-drained,126
rice,February,clay,poorly-drained,126
rice,March,clay,poorly-drained,126
rice,April,clay,poorly-drained,126
rice,May,clay,poorly-drained,126
rice,June,clay,poorly-drained,126
rice,July,clay,poorly-drained,126
rice,August,clay,poorly-drained,126
rice,September,clay,poorly-drained,126
rice,October,clay,poorly-drained,126
rice,November,clay,poorly-drained,127
rice,December,clay,poorly-drained,127
rice,January,clay,poorly-drained,127
rice,February,clay,poorly-drained,127
rice,March,clay,poorly-drained,127
rice,April,clay,poorly-drained,127
rice,May,clay,poorly-drained,127
rice,June,clay,poorly-drained,127
rice,July,clay,poorly-drained,127
rice,August,clay,poorly-drained,127
rice,September,clay,poorly-drained,127
rice,October,clay,poorly-drained,127
rice,November,clay,poorly-drained,128
rice,December,clay,poorly-drained,128
rice,January,clay,poorly-drained,128
rice,February,clay,poorly-drained,128
rice,March,clay,poorly-drained,128
rice,April,clay,poorly-drained,128
rice,May,clay,poorly-drained,128
rice,June,clay,poorly-drained,128
rice,July,clay,poorly-drained,128
rice,August,clay,poorly-drained,128
rice,September,clay,poorly-drained,128
rice,October,clay,poorly-drained,128
rice,November,clay,poorly-drained,129
rice,December,clay,poorly-drained,129
rice,January,clay,poorly-drained,129
rice,February,clay,poorly-drained,129
rice,March,clay,poorly-drained,129
rice,April,clay,poorly-drained,129
rice,May,clay,poorly-drained,129
rice,June,clay,poorly-drained,129
rice,July,clay,poorly-drained,129
rice,August,clay,poorly-drained,129
rice,September,clay,poorly-drained,129
rice,October,clay,poorly-drained,129
rice,November,clay,poorly-drained,130
rice,December,clay,poorly-drained,130
rice,January,clay,poorly-drained,130
rice,February,clay,poorly-drained,130
rice,March,clay,poorly-drained,130
rice,April,clay,poorly-drained,130
rice,May,clay,poorly-drained,130
rice,June,clay,poorly-drained,130
rice,July,clay,poorly-drained,130
rice,August,clay,poorly-drained,130
rice,September,clay,poorly-drained,130
rice,October,clay,poorly-drained,130
rice,November,clay,poorly-drained,131
rice,December,clay,poorly-drained,131
rice,January,clay,poorly-drained,131
rice,February,clay,poorly-drained,131
rice,March,clay,poorly-drained,131
rice,April,clay,poorly-drained,131
rice,May,clay,poorly-drained,131
rice,June,clay,poorly-drained,131
rice,July,clay,poorly-drained,131
rice,August,clay,poorly-drained,131
rice,September,clay,poorly-drained,131
rice,October,clay,poorly-drained,131
rice,November,clay,poorly-drained,132
rice,December,clay,poorly-drained,132
rice,January,clay,poorly-drained,132
rice,February,clay,poorly-drained,132
rice,March,clay,poorly-drained,132
rice,April,clay,poorly-drained,132
rice,May,clay,poorly-drained,132
rice,June,clay,poorly-drained,132
rice,July,clay,poorly-drained,132
rice,August,clay,poorly-drained,132
rice,September,clay,poorly-drained,132
rice,October,clay,poorly-drained,132
rice,November,clay,poorly-drained,133
rice,December,clay,poorly-drained,133
rice,January,clay,poorly-drained,133
rice,February,clay,poorly-drained,133
rice,March,clay,poorly-drained,133
rice,April,clay,poorly-drained,133
rice,May,clay,poorly-drained,133
rice,June,clay,poorly-drained,133
rice,July,clay,poorly-drained,133
rice,August,clay,poorly-drained,133
rice,September,clay,poorly-drained,133
rice,October,clay,poorly-drained,133
rice,November,clay,poorly-drained,134
rice,December,clay,poorly-drained,134
rice,January,clay,poorly-drained,134
rice,February,clay,poorly-drained,134
rice,March,clay,poorly-drained,134
rice,April,clay,poorly-drained,134
rice,May,clay,poorly-drained,134
rice,June,clay,poorly-drained,134
rice,July,clay,poorly-drained,134
rice,August,clay,poorly-drained,134
rice,September,clay,poorly-drained,134
rice,October,clay,poorly-drained,134
rice,November,clay,poorly-drained,135
rice,December,clay,poorly-drained,135
rice,January,clay,poorly-drained,135
rice,February,clay,poorly-drained,135
rice,March,clay,poorly-drained,135
rice,April,clay,poorly-drained,135
rice,May,clay,poorly-drained,135
rice,June,clay,poorly-drained,135
rice,July,clay,poorly-drained,135
rice,August,clay,poorly-drained,135
rice,September,clay,poorly-drained,135
rice,October,clay,poorly-drained,135
rice,November,clay,poorly-drained,136
rice,December,clay,poorly-drained,136
rice,January,clay,poorly-drained,136
rice,February,clay,poorly-drained,136
rice,March,clay,poorly-drained,136
rice,April,clay,poorly-drained,136
rice,May,clay,poorly-drained,136
rice,June,clay,poorly-drained,136
rice,July,clay,poorly-drained,136
rice,August,clay,poorly-drained,136
rice,September,clay,poorly-drained,136
rice,October,clay,poorly-drained,136
rice,November,clay,poorly-drained,137
rice,December,clay,poorly-drained,137
rice,January,clay,poorly-drained,137
rice,February,clay,poorly-drained,137
rice,March,clay,poorly-drained,137
rice,April,clay,poorly-drained,137
rice,May,clay,poorly-drained,137
rice,June,clay,poorly-drained,137
rice,July,clay,poorly-drained,137
rice,August,clay,poorly-drained,137
rice,September,clay,poorly-drained,137
rice,October,clay,poorly-drained,137
rice,November,clay,poorly-drained,138
rice,December,clay,poorly-drained,138
rice,January,clay,poorly-drained,138
rice,February,clay,poorly-drained,138
rice,March,clay,poorly-drained,138
rice,April,clay,poorly-drained,138
rice,May,clay,poorly-drained,138
rice,June,clay,poorly-drained,138
rice,July,clay,poorly-drained,138
rice,August,clay,poorly-drained,138
rice,September,clay,poorly-drained,138
rice,October,clay,poorly-drained,138
rice,November,clay,poorly-drained,139
rice,December,clay,poorly-drained,139
rice,January,clay,poorly-drained,139
rice,February,clay,poorly-drained,139
rice,March,clay,poorly-drained,139
rice,April,clay,poorly-drained,139
rice,May,clay,poorly-drained,139
rice,June,clay,poorly-drained,139
rice,July,clay,poorly-drained,139
rice,August,clay,poorly-drained,139
rice,September,clay,poorly-drained,139
rice,October,clay,poorly-drained,139
rice,November,clay,poorly-drained,140
rice,December,clay,poorly-drained,140
rice,January,clay,poorly-drained,140
rice,February,clay,poorly-drained,140
rice,March,clay,poorly-drained,140
rice,April,clay,poorly-drained,140
rice,May,clay,poorly-drained,140
rice,June,clay,poorly-drained,140
rice,July,clay,poorly-drained,140
rice,August,clay,poorly-drained,140
rice,September,clay,poorly-drained,140
rice,October,clay,poorly-drained,140
rice,November,clay,poorly-drained,141
rice,December,clay,poorly-drained,141
rice,January,clay,poorly-drained,141
rice,February,clay,poorly-drained,141
rice,March,clay,poorly-drained,141
rice,April,clay,poorly-drained,141
rice,May,clay,poorly-drained,141
rice,June,clay,poorly-drained,141
rice,July,clay,poorly-drained,141
rice,August,clay,poorly-drained,141
rice,September,clay,poorly-drained,141
rice,October,clay,poorly-drained,141
rice,November,clay,poorly-drained,142
rice,December,clay,poorly-drained,142
rice,January,clay,poorly-drained,142
rice,February,clay,poorly-drained,142
rice,March,clay,poorly-drained,142
rice,April,clay,poorly-drained,142
rice,May,clay,poorly-drained,142
rice,June,clay,poorly-drained,142
rice,July,clay,poorly-drained,142
rice,August,clay,poorly-drained,142
rice,September,clay,poorly-drained,142
rice,October,clay,poorly-drained,142
rice,November,clay,poorly-drained,143
rice,December,clay,poorly-drained,143
rice,January,clay,poorly-drained,143
rice,February,clay,poorly-drained,143
rice,March,clay,poorly-drained,143
rice,April,clay,poorly-drained,143
rice,May,clay,poorly-drained,143
rice,June,clay,poorly-drained,143
rice,July,clay,poorly-drained,143
rice,August,clay,poorly-drained,143
rice,September,clay,poorly-drained,143
rice,October,clay,poorly-drained,143
rice,November,clay,poorly-drained,144
rice,December,clay,poorly-drained,144
rice,January,clay,poorly-drained,144
rice,February,clay,poorly-drained,144
rice,March,clay,poorly-drained,144
rice,April,clay,poorly-drained,144
rice,May,clay,poorly-drained,144
rice,June,clay,poorly-drained,144
rice,July,clay,poorly-drained,144
rice,August,clay,poorly-drained,144
rice,September,clay,poorly-drained,144
rice,October,clay,poorly-drained,144
rice,November,clay,poorly-drained,145
rice,December,clay,poorly-drained,145
rice,January,clay,poorly-drained,145
rice,February,clay,poorly-drained,145
rice,March,clay,poorly-drained,145
rice,April,clay,poorly-drained,145
rice,May,clay,poorly-drained,145
rice,June,clay,poorly-drained,145
rice,July,clay,poorly-drained,145
rice,August,clay,poorly-drained,145
rice,September,clay,poorly-drained,145
rice,October,clay,poorly-drained,145
rice,November,clay,poorly-drained,146
rice,December,clay,poorly-drained,146
rice,January,clay,poorly-drained,146
rice,February,clay,poorly-drained,146
rice,March,clay,poorly-drained,146
rice,April,clay,poorly-drained,146
rice,May,clay,poorly-drained,146
rice,June,clay,poorly-drained,146
rice,July,clay,poorly-drained,146
rice,August,clay,poorly-drained,146
rice,September,clay,poorly-drained,146
rice,October,clay,poorly-drained,146
rice,November,clay,poorly-drained,147
rice,December,clay,poorly-drained,147
rice,January,clay,poorly-drained,147
rice,February,clay,poorly-drained,147
rice,March,clay,poorly-drained,147
rice,April,clay,poorly-drained,147
rice,May,clay,poorly-drained,147
rice,June,clay,poorly-drained,147
rice,July,clay,poorly-drained,147
rice,August,clay,poorly-drained,147
rice,September,clay,poorly-drained,147
rice,October,clay,poorly-drained,147
rice,November,clay,poorly-drained,148
rice,December,clay,poorly-drained,148
rice,January,clay,poorly-drained,148
rice,February,clay,poorly-drained,148
rice,March,clay,poorly-drained,148
rice,April,clay,poorly-drained,148
rice,May,clay,poorly-drained,148
rice,June,clay,poorly-drained,148
rice,July,clay,poorly-drained,148
rice,August,clay,poorly-drained,148
rice,September,clay,poorly-drained,148
rice,October,clay,poorly-drained,148
rice,November,clay,poorly-drained,149
rice,December,clay,poorly-drained,149
rice,January,clay,poorly-drained,149
rice,February,clay,poorly-drained,149
rice,March,clay,poorly-drained,149
rice,April,clay,poorly-drained,149
rice,May,clay,poorly-drained,149
rice,June,clay,poorly-drained,149
rice,July,clay,poorly-drained,149
rice,August,clay,poorly-drained,149
rice,September,clay,poorly-drained,149
rice,October,clay,poorly-drained,149
rice,November,clay,poorly-drained,150
rice,December,clay,poorly-drained,150
rice,January,clay,poorly-drained,150
rice,February,clay,poorly-drained,150
rice,March,clay,poorly-drained,150
rice,April,clay,poorly-drained,150
rice,May,clay,poorly-drained,150
rice,June,clay,poorly-drained,150
rice,July,clay,poorly-drained,150
rice,August,clay,poorly-drained,150
rice,September,clay,poorly-drained,150
rice,October,clay,poorly-drained,150
corn,November,loam,well-drained,70
corn,November,sandy loam,well-drained,70
corn,December,loam,well-drained,70
corn,December,sandy loam,well-drained,70
corn,January,loam,well-drained,70
corn,January,sandy loam,well-drained,70
corn,February,loam,well-drained,70
corn,February,sandy loam,well-drained,70
corn,March,loam,well-drained,70
corn,March,sandy loam,well-drained,70
corn,April,loam,well-drained,70
corn,April,sandy loam,well-drained,70
corn,May,loam,well-drained,70
corn,May,sandy loam,well-drained,70
corn,June,loam,well-drained,70
corn,June,sandy loam,well-drained,70
corn,July,loam,well-drained,70
corn,July,sandy loam,well-drained,70
corn,August,loam,well-drained,70
corn,August,sandy loam,well-drained,70
corn,September,loam,well-drained,70
corn,September,sandy loam,well-drained,70
corn,October,loam,well-drained,70
corn,October,sandy loam,well-drained,70
corn,November,loam,well-drained,71
corn,November,sandy loam,well-drained,71
corn,December,loam,well-drained,71
corn,December,sandy loam,well-drained,71
corn,January,loam,well-drained,71
corn,January,sandy loam,well-drained,71
corn,February,loam,well-drained,71
corn,February,sandy loam,well-drained,71
corn,March,loam,well-drained,71
corn,March,sandy loam,well-drained,71
corn,April,loam,well-drained,71
corn,April,sandy loam,well-drained,71
corn,May,loam,well-drained,71
corn,May,sandy loam,well-drained,71
corn,June,loam,well-drained,71
corn,June,sandy loam,well-drained,71
corn,July,loam,well-drained,71
corn,July,sandy loam,well-drained,71
corn,August,loam,well-drained,71
corn,August,sandy loam,well-drained,71
corn,September,loam,well-drained,71
corn,September,sandy loam,well-drained,71
corn,October,loam,well-drained,71
corn,October,sandy loam,well-drained,71
corn,November,loam,well-drained,72
corn,November,sandy loam,well-drained,72
corn,December,loam,well-drained,72
corn,December,sandy loam,well-drained,72
corn,January,loam,well-drained,72
corn,January,sandy loam,well-drained,72
corn,February,loam,well-drained,72
corn,February,sandy loam,well-drained,72
corn,March,loam,well-drained,72
corn,March,sandy loam,well-drained,72
corn,April,loam,well-drained,72
corn,April,sandy loam,well-drained,72
corn,May,loam,well-drained,72
corn,May,sandy loam,well-drained,72
corn,June,loam,well-drained,72
corn,June,sandy loam,well-drained,72
corn,July,loam,well-drained,72
corn,July,sandy loam,well-drained,72
corn,August,loam,well-drained,72
corn,August,sandy loam,well-drained,72
corn,September,loam,well-drained,72
corn,September,sandy loam,well-drained,72
corn,October,loam,well-drained,72
corn,October,sandy loam,well-drained,72
corn,November,loam,well-drained,73
corn,November,sandy loam,well-drained,73
corn,December,loam,well-drained,73
corn,December,sandy loam,well-drained,73
corn,January,loam,well-drained,73
corn,January,sandy loam,well-drained,73
corn,February,loam,well-drained,73
corn,February,sandy loam,well-drained,73
corn,March,loam,well-drained,73
corn,March,sandy loam,well-drained,73
corn,April,loam,well-drained,73
corn,April,sandy loam,well-drained,73
corn,May,loam,well-drained,73
corn,May,sandy loam,well-drained,73
corn,June,loam,well-drained,73
corn,June,sandy loam,well-drained,73
corn,July,loam,well-drained,73
corn,July,sandy loam,well-drained,73
corn,August,loam,well-drained,73
